PO_NUMBER,AGENCY_NAME,NIGP_DESCRIPTION,PO_TOTAL_AMOUNT,ORDER_DATE,SUPPLIER,SUPPLIER_FULL_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE
PO453398,STATE SUPERINTENDENT OF EDUCATION (OSSE),YOUTH CARE SERVICES 95,$151691.64,01/02/2013,"DC PREPARATORY ACADEMY,PCS",707 EDGEWOOD STREET NE   ; WASHINGTON  ; DC  ; 20017-,WASHINGTON  ,DC
PO454662,COMMISSION ON ARTS & HUMANITIES,"ARTS SERVICES (CULTURAL, DESIGN, VISUAL, ETC.) 07",$4950.00,01/17/2013,"WORKSHOP, INC.","3145 NEWARK STREET, NW  ; WASHINGTON  ; DC  ; 20008",WASHINGTON  ,DC
PO454649,COMMISSION ON ARTS & HUMANITIES,PUBLIC ART CONSULTING 86,$15000.00,01/17/2013,STUDIO THEATRE,1501 14TH STREET NW  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO454700,OFFICE OF MUNICIPAL PLANNING,PRINTING ON RECYCLED STOCK 75,$5000.00,01/17/2013,"SENODA, INC.","1050 17TH STREET, NW                               SUITE 600  ; WASHINGTON  ; DC  ; 20036",WASHINGTON  ,DC
PO454824,STATE SUPERINTENDENT OF EDUCATION (OSSE),ADMINISTRATIVE CONSULTING 06,$16640.00,01/18/2013,MELVEY BROWN,6036 RICHMOND HIGHWAY #707  ; ALEXANDRIA  ; VA  ; 22303,ALEXANDRIA  ,VA
PO454759,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,AUTOMOBILES AND OTHER PASSENGER VEHICLES (INCLUDING EMERGENCY TYPE) RENTAL OR LEASE 14,$4990.05,01/18/2013,ACME AUTO LEASING LLC,440 WASHINGTON AVENUE  ; NORTH HAVEN  ; CT  ; 06473,NORTH HAVEN  ,CT
PO454768,DEPT. OF HOUSING AND COMM. DEVELOPMENT,LOAN ADMINISTRATION 60,$1498500.00,01/18/2013,"W STREET SE 38-42-43, LLC",7625 WISCONSIN AVENUE 2ND FLOOR  ; BETHESDA   ; MD  ; 20814,BETHESDA   ,MD
PO454810,DEPART OF YOUTH REHABILITATION SERVICES,"APPLICATIONS SOFTWARE FOR MICROCOMPUTER SYSTEMS: BUSINESS, MATHEMATICAL/STATISTICAL, MEDICAL, SCIENTIFIC, ETC. 07",$21460.00,01/18/2013,EDP CONSULTANTS LTD,37 BAXTER COURT   ; FREDERICTON  ; NB  ; E3B-6M2,FREDERICTON  ,NB
PO448947-V2,DEPT. OF HOUSING AND COMM. DEVELOPMENT,LOAN ADMINISTRATION 60,$75030.02,01/18/2013,DIX STREET GATEWAY,6301 IVY LANE SUITE 402  ; GREENBELT  ; MD  ; 20770,GREENBELT  ,MD
PO454804,DEPARTMENT OF PUBLIC WORKS,"WORKSTATIONS: SPARC, RISC, ETC. (FOR USE WITH CAD/CAM, ETC.) 96",$9367.00,01/18/2013,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO454802,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"MICROCOMPUTERS, DESKTOP OR TOWERBASED 53",$16997.75,01/18/2013,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO454794,DEPARTMENT OF HEALTH,"GENERATORS, STATIONARY TYPE (NOT AUTOMOTIVE) 39",$4500.00,01/18/2013,"AGGREKO, INC.",3 KILLDEER COURT SUITE 302  ; SWEDESBORO  ; NJ  ; 20808-1753,SWEDESBORO  ,NJ
PO454809,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,"ADVISORY SERVICES, EDUCATIONAL 05",$150000.00,01/18/2013,"WESTAT, INC.",1650 RESEARCH BLVD  ; ROCKVILLE  ; MD  ; 20805,ROCKVILLE  ,MD
PO454805,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$4580.50,01/18/2013,DLT SOLUTIONS INC,13861 SUNRISE VALLEY DRIVE                         SUITE 400  ; HERNDON  ; VA  ; 20171,HERNDON  ,VA
PO454799,DEPARTMENT OF TRANSPORTATION,CONSTRUCTION MANAGEMENT SERVICES 26,$475787.00,01/18/2013,"FMC CIVIL CONSTRUCTION, LLC",2413 SCHUSTER DRIVE   ; HYATTSVILLE  ; MD  ; 20781-,HYATTSVILLE  ,MD
PO347952-V2,DEPARTMENT OF TRANSPORTATION,"PAVING/RESURFACING, HIGHWAY AND ROAD 95",$6770742.97,01/18/2013,"FMC CIVIL CONSTRUCTION, LLC",2413 SCHUSTER DRIVE   ; HYATTSVILLE  ; MD  ; 20781-,HYATTSVILLE  ,MD
PO454798,DEPARTMENT OF GENERAL SERVICES,"DOOR AUTOMATIC OPERATOR INSTALLATION, MAINTENANCE AND REPAIR 23",$10000.00,01/18/2013,"CAROLINA DOOR CONTROLS, INC.",SUITE 125                                          6770 OAK HALL LANE  ; COLUMBIA  ; MD  ; 21045,COLUMBIA  ,MD
PO446345-V2,DEPARTMENT OF HEALTH,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$150000.00,01/18/2013,PRESIDENT & DIRECTORS OF GEORGETOWN COLLEGE FOR GEORGETOWN UNIVERSITY,650 PENN. AVE SE STE 230   ; WASHINGTON  ; DC  ; 22201-,WASHINGTON  ,DC
PO454773,OFFICE OF THE INSPECTOR GENERAL,"SCANNERS, DOCUMENT: HANDHELD, DESKTOP AND HIGH VOLUME 88",$3373.76,01/18/2013,PREMIER OFFICE & MEDICAL SUPPLY DBA: PREMIER SUPPLIERS,1020 49TH STREET NE   ; WASHINGTON  ; DC  ; 20019-,WASHINGTON  ,DC
PO454774,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$175000.00,01/18/2013,HR GENERAL MAINTENANCE CORP,"2021 SHANNON PLACE, SE  ; WASHINGTON  ; DC  ; 20020",WASHINGTON  ,DC
PO382984-V2,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$5248.00,01/18/2013,ENCON,"316 DOMINION ROAD, NE  ; VIENNA  ; VA  ; 22180",VIENNA  ,VA
PO454775,OFFICE OF THE INSPECTOR GENERAL,COVERS AND ENCLOSURES (ACOUSTICAL AND PROTECTIVE) (FOR EQUIPMENT) 34,$4001.73,01/18/2013,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO454795,COUNCIL OF THE DISTRICT OF COLUMBIA,ADMINISTRATIVE CONSULTING 06,$98640.71,01/18/2013,"EMC2, INC.",10110 MOLECULAR DRIVE SUITE 314  ; ROCKVILLE  ; MD  ; 20850,ROCKVILLE  ,MD
PO454801,DEPARTMENT OF EMPLOYMENT SERVICES,"DESK ACCESSORIES: ALPHABETIZERS, CASH BOXES, DESK FILES, FILE CARD CABINETS, LETTER SORTERS, MESSAGE RACKS, ETC. 33",$35000.00,01/18/2013,MDM OFFICE SYSTEMS DBA STANDARD OFFICE SUPPLY,STANDARD BUSINESS FURNITURE 35 SHERIDAN STREET  ; WASHINGTON  ; DC  ; 20011-,WASHINGTON  ,DC
PO454811,OFFICE ON AGING,"PUBLICATIONS PRINTED ON NEWSPRINT OR GROUNDWOOD PAPER STOCK (QUAN. OVER 100,000) 74",$38718.00,01/18/2013,"THE CURRENT NEWSPAPERS, INC.",5185 MACARTHUR BLVD NW SUITE 102  ; WASHINGTON  ; DC  ; 20016-,WASHINGTON  ,DC
PO454772,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$576376.00,01/18/2013,KEYSTONE PLUS CONSTRUCTION COR,"1600 K STREET, N.W. SUITE 350  ; WASHINGTON  ; DC  ; 20006-",WASHINGTON  ,DC
PO447598-V2,DEPARTMENT OF HEALTH,CASE MANAGEMENT 15,$764571.35,01/18/2013,"UNITY HEALTH CARE, INC.",1220 12TH ST SE STE 120   ; WASHINGTON  ; DC  ; 20003-,WASHINGTON  ,DC
PO454769,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$487291.00,01/18/2013,"KRESSCOX ASSOCIATES, P.C.","2909 M STREET, NW   ; WASHINGTON  ; DC  ; 20007-",WASHINGTON  ,DC
PO454779,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$468295.00,01/18/2013,LANCE BAILEY & ASSOCIATES INC,7961 EASTERN AVE                                   SUITE 200  ; SILVER SPRING  ; MD  ; 20910,SILVER SPRING  ,MD
PO449065-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,"MORTUARY FURNITURE: AUTOPSY TABLES, CADAVER TABLES, REFRIGERATORS, ETC. 42",$40000.00,01/18/2013,MEDICAL SUPPLY SYSTEMS INC,3182 BLADENSBURG RD. NE.  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO454807,DEPARTMENT OF PUBLIC WORKS,"SHIRTS, DRESS AND CASUAL 70",$95000.00,01/18/2013,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO447849-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,"HOSPITAL WEAR, PROFESSIONAL 34",$10000.00,01/18/2013,MORGANS INC,900 RHODE ISLAND AVENUE NE  ; WASHINGTON  ; DC  ; 20018,WASHINGTON  ,DC
PO448360-V2,DEPT. OF HOUSING AND COMM. DEVELOPMENT,LOAN ADMINISTRATION 60,$82627.15,01/18/2013,3145 MOUNT PLEASANT ST TENANTS,3345 MT. PLEASANT ST. NW #9  ; WASHINGTON  ; DC  ; 20010,WASHINGTON  ,DC
PO454808,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,STRATEGIC TECHNOLOGY PLANNING AND CONSULTING SERVICES 90,$127500.00,01/18/2013,"FUNDS FOR LEARNING,LLC",2575 KELLEY POINTE PKWY STE 200  ; EDMOND  ; OK  ; 73013-,EDMOND  ,OK
PO386208-V3,DEPARTMENT OF TRANSPORTATION,ENGINEERING CONSULTING 42,$993864.00,01/18/2013,IPS GROUP INC.,"5601 OBERLIN DRIVE, STE#100   ; SAN DIEGO  ; CA  ; 92121-",SAN DIEGO  ,CA
PO444791-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,"LABORATORY EQUIPMENT AND ACCESSORIES, MAINTENANCE AND REPAIR: FOR GENERAL AND ANALYTICAL RESEARCH USE, NUCLEAR, OPTICAL, PHYSICAL 62",$5520.00,01/18/2013,NOVA BIOMEDICAL CORPORATION,200 PROSPECT ST.  ; WALTHAM  ; MA  ; 02454,WALTHAM  ,MA
PO454776,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$686870.00,01/18/2013,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO454806,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$414329.00,01/18/2013,THE ACHIEVEMENT NETWORK,225 FRIEND ST STE 704   ; BOSTON  ; MA  ; 02114-,BOSTON  ,MA
PO450496-V2,OFFICE OF THE CHIEF MEDICAL EXAMINER,"LABORATORY EQUIPMENT AND ACCESSORIES, MAINTENANCE AND REPAIR: FOR GENERAL AND ANALYTICAL RESEARCH USE, NUCLEAR, OPTICAL, PHYSICAL 62",$25248.92,01/18/2013,WATERS TECHNOLOGIES CORP.,34 MAPLE STREET   ; MILFORD  ; MA  ; 01757-,MILFORD  ,MA
PO454771,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$477405.00,01/18/2013,"SMOOT/GILBANE, A JOINT VENTURE","5335 WISCONSIN AVE, NW #940  ; WASHINGTON   ; DC  ; 20015",WASHINGTON   ,DC
PO454893,DEPARTMENT OF PARKS AND RECREATION,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4250.00,01/22/2013,NATIVIDAD DELCID,1500 MASSACHUSETTS AVE NW #437  ; WASHINGTON  ; DC  ; 20005,WASHINGTON  ,DC
PO454907,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,LETTER FOLDERS AND OPENERS 53,$3000.00,01/22/2013,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO454892,DEPARTMENT OF PARKS AND RECREATION,"ATHLETIC AWARDS (FOR SERVICE TYPE SEE CLASS 080): MEDALS, PLAQUES, TROPHIES, ETC. 15",$6686.00,01/22/2013,HASTY AWARDS,1015 ENTERPRISE STREET  ; OTTOWA  ; KS  ; 66067,OTTOWA  ,KS
PO454858,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$101635.75,01/22/2013,PLAYWORLD SYSTEMS INCORPORATED,1000 BUFFALO RD  ; LEWISBURG  ; PA  ; 17837,LEWISBURG  ,PA
PO454861,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$180924.25,01/22/2013,PLAYWORLD SYSTEMS INCORPORATED,1000 BUFFALO RD  ; LEWISBURG  ; PA  ; 17837,LEWISBURG  ,PA
PO454859,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$106943.75,01/22/2013,PLAYWORLD SYSTEMS INCORPORATED,1000 BUFFALO RD  ; LEWISBURG  ; PA  ; 17837,LEWISBURG  ,PA
PO454852,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$3692.97,01/22/2013,LAW OFFICES OF STEFAN B ADES,3604 EASTERN AVENUE SUITE 300  ; BALTIMORE  ; MD  ; 21224,BALTIMORE  ,MD
PO454866,DEPARTMENT OF HUMAN SERVICES,EMPLOYMENT GENERATING ACTIVITIES 39,$608515.11,01/22/2013,KRA CORPORATION,"8757 GEORGIA AVENUE, 8TH FLOOR  ; SILVER SPRING  ; MD  ; 20910",SILVER SPRING  ,MD
PO400432-V2,EQUIPMENT LEASE - CAPITAL,"BUSINESS SOFTWARE, MISC.: AGENDA, LABELS, MAIL LIST, PLANNING, SCHEDULING, ETC. 20",$407426.00,01/22/2013,"BLUE LINE PLANNING, INC.",24 SOUTH MAIN STREET  ; ALLENTOWN  ; NJ  ; 08501,ALLENTOWN  ,NJ
PO454901,DEPARTMENT OF TRANSPORTATION,"TRANSPORTATION SYSTEMS, INTELLIGENT (AN AUTOMATED INFORMATION SYSTEM WHICH PROVIDES TRAFFIC MANAGEMENT, COMMUNICATIONS, AND ANALYSIS OF DATA AS A MINIMUM) 90",$29870.00,01/22/2013,"VAISALA , INC.",194 SOUTH TAYLOR AVE   ; LOUISVILLE  ; CO  ; 80027,LOUISVILLE  ,CO
PO454915,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$232950.42,01/22/2013,ARIBA INCORPORATED,807 11TH AVENUE                                    M/S2.2.436  ; SUNNYVALE  ; CA  ; 94089,SUNNYVALE  ,CA
PO454898,OFFICE OF UNIFIED COMMUNICATIONS,"COPY MACHINES, BOND (PLAIN) PAPER TYPE INCLUDING PARTS AND ACCESSORIES 38",$27728.92,01/22/2013,DELL COMPUTER CORP.,ONE DELL WAY   ; ROUND ROCK  ; TX  ; 78682-,ROUND ROCK  ,TX
PO454869,OFFICE OF CHIEF TECHNOLOGY OFFICER,"INSTALLATION OF COMPUTERS, PERIPHERALS, AND RELATED EQUIPMENT (INCLUDING SOFTWARE) 31",$13495.95,01/22/2013,APPLE COMPUTER INC,1 INFINITE LOOP   ; CUPERTINO  ; CA  ; 95014-,CUPERTINO  ,CA
PO454890,DC PUBLIC LIBRARY,ENVIRONMENTAL IMPACT STUDIES 32,$4200.00,01/22/2013,"THE ARGOS GROUP, LLC",631 D STREET N.W. SUITE 638  ; WASHINGTON  ; DC  ; 20004-2938,WASHINGTON  ,DC
PO440725-V3,DEPARTMENT OF MENTAL HEALTH,"GENERATORS, PORTABLE, ENGINE DRIVEN (INCLUDING FOG AND MIST TYPES) 37",$18000.00,01/22/2013,"GENERAL SERVICES, INC.","3613 GEORGIA AVENUE, NW   ; WASHINGTON  ; DC  ; 20010-1620",WASHINGTON  ,DC
PO454864,DEPARTMENT OF GENERAL SERVICES,SNOW AND ICE REMOVAL SERVICES 72,$100000.00,01/22/2013,COMMUNITY BRIDGE INC,ONE SCOTT CIRCLE NW                                SUITE 820  ; WASHINGTON  ; DC  ; 20036,WASHINGTON  ,DC
PO454865,DEPARTMENT OF HUMAN SERVICES,EMPLOYMENT GENERATING ACTIVITIES 39,$295268.77,01/22/2013,EDGEWOOD/BROOKLAND FAMILY SUPPORT,"200 K STREET, N.W.,  #1  ; WASHINGTON  ; DC  ; 20001-",WASHINGTON  ,DC
PO454867,DEPARTMENT OF HUMAN SERVICES,EMPLOYMENT GENERATING ACTIVITIES 39,$490165.03,01/22/2013,OPPORTUNITIES INDUSTRIAL CENTER,3707 MLK AVENUE SE   ; WASHINGTON  ; DC  ; 20032-,WASHINGTON  ,DC
PO454857,DEPARTMENT OF GENERAL SERVICES,"FURNITURE, LABORATORY (CUSTOM MADE) 55",$8527.30,01/22/2013,GOVERNMENT SCIENTIFIC SERVICE,12351 SUNRISE VALLEY DRIVE   ; RESTON  ; VA  ; 20191-3415,RESTON  ,VA
PO401015-V2,OFFICE OF CHIEF TECHNOLOGY OFFICER,COMPUTER SOFTWARE CONSULTING 29,$20114.00,01/22/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO454913,DEPARTMENT OF HEALTH CARE FINANCE,PERSONNEL/EMPLOYMENT CONSULTING 85,$170040.00,01/22/2013,"OST, INC.","2001 M STREET, NW SUITE 3000  ; WASHINGTON  ; DC  ; 20036-3310",WASHINGTON  ,DC
PO454900,CRIMINAL JUSTICE COORDINATING COUNCIL,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$279759.50,01/22/2013,"ENLIGHTENED, INC.",1100 15TH ST NW   ; WASHINGTON  ; DC  ; 20005-,WASHINGTON  ,DC
PO454853,DISTRICT DEPARTMENT OF THE ENVIRONMENT,ENVIRONMENTAL SERVICES (NOT OTHERWISE CLASSIFIED) 42,$250000.00,01/22/2013,"BIOHABITATS, INC.",15 WEST AYLESBURY ROAD  ; TIMONIUM  ; MD  ; 21093,TIMONIUM  ,MD
PO454854,DISTRICT DEPARTMENT OF THE ENVIRONMENT,ENVIRONMENTAL SERVICES (NOT OTHERWISE CLASSIFIED) 42,$39961.68,01/22/2013,LIVING CLASSROOMS FOUNDATION,802 SOUTH CAROLINE STREET   ; BALTIMORE  ; MD  ; 21231-,BALTIMORE  ,MD
PO454908,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$300000.00,01/22/2013,KEYSTONE PLUS CONSTRUCTION COR,"1600 K STREET, N.W. SUITE 350  ; WASHINGTON  ; DC  ; 20006-",WASHINGTON  ,DC
PO454909,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$150000.00,01/22/2013,KEYSTONE PLUS CONSTRUCTION COR,"1600 K STREET, N.W. SUITE 350  ; WASHINGTON  ; DC  ; 20006-",WASHINGTON  ,DC
PO454914,DEPT. OF HOUSING AND COMM. DEVELOPMENT,LOAN ADMINISTRATION 60,$1525000.00,01/22/2013,MANNA INC,828 EVARTS ST NE   ; WASHINGTON  ; DC  ; 20018-,WASHINGTON  ,DC
PO453757,OFFICE OF CHIEF TECHNOLOGY OFFICER,SOFTWARE MAINTENANCE/SUPPORT 45,$153846.78,01/22/2013,THE PITTMAN GROUP INC,"DBA/VANTIX 7059 BLAIR ROAD, NW SUITE 100  ; WASHINGTON  ; DC  ; 20012-",WASHINGTON  ,DC
PO454891,DEPARTMENT OF PARKS AND RECREATION,ATHLETIC CLOTHING 10,$21054.96,01/22/2013,EMERGENCY 911 SECURITY,"4700 MINNESOTA AVE, NE   ; WASHINGTON  ; DC  ; 20019-",WASHINGTON  ,DC
PO454871,DEPT. OF HOUSING AND COMM. DEVELOPMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$2880.00,01/22/2013,RMD INSTRUMENTS,44 HUNT STREET  ; WATERTOWN  ; MA  ; 02472,WATERTOWN  ,MA
PO441118-V2,OFFICE OF RISK MANAGEMENT,SOFTWARE MAINTENANCE/SUPPORT 45,$12360.00,01/22/2013,AMERICAN TECHNICAL SERVICES,2134 PALM HARBOR BLVD.                             SUITE A  ; PALM HARBOR  ; FL  ; 34683,PALM HARBOR  ,FL
PO449445-V3,OFFICE OF THE ATTORNEY GENERAL,COPY MACHINE MAINTENANCE AND REPAIR 27,$22855.00,01/22/2013,"HI-TECH SOLUTION, INC.","1300 PENNSYLANIA AVE, NW                           SUITE 700  ; WASHINGTON  ; DC  ; 20004",WASHINGTON  ,DC
PO454911,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$130000.00,01/22/2013,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO454910,DEPARTMENT OF GENERAL SERVICES,GENERAL CONSTRUCTION - ARCHITECTURAL 38,$1500000.00,01/22/2013,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO454912,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$500000.00,01/22/2013,TURNER CONSTRUCTION COMPANY,3865 WILSON BLVD. SUITE 300   ; ARLINGTON  ; VA  ; 22203-1764,ARLINGTON  ,VA
PO454860,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RECYCLED OFFICE SUPPLIES 73,$9610.00,01/22/2013,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO454862,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,CLASSROOM EQUIPMENT AND SUPPLIES (NOT OTHERWISE CLASSIFIED) 32,$2502.00,01/22/2013,AMERICAN EXPRESS COMPANY,2975 W CORPORATE LAKES BLVD                        CPC REMITTANCE PROCESSING  ; WESTON  ; FL  ; 33331-3626,WESTON  ,FL
PO454850,DC NATIONAL GUARD,RIBBONS AND ROSETTES (AWARDS) 57,$4999.60,01/22/2013,NORTHWEST TERRITORIAL MINT,80 E. AIRPARK VISTA BLVD  ; DAYTON  ; NV  ; 89403,DAYTON  ,NV
PO455012,DEPARTMENT OF PARKS AND RECREATION,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$4980.00,01/23/2013,MALCOLM GREENE,3811 MASSACHUSETTS AVE SE  ; WASHINGTON  ; DC  ; 20019,WASHINGTON  ,DC
PO455011,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$500000.00,01/23/2013,CHIARAMONTE-HESS A JOINT VENTU,804 WEST DIAMOND AVENUE  SUITE 300  ; GAITHERSBURG  ; MD  ; 20878,GAITHERSBURG  ,MD
PO455010,DEPARTMENT OF GENERAL SERVICES,CONSTRUCTION MANAGEMENT SERVICES 26,$375000.00,01/23/2013,CHIARAMONTE-HESS A JOINT VENTU,804 WEST DIAMOND AVENUE  SUITE 300  ; GAITHERSBURG  ; MD  ; 20878,GAITHERSBURG  ,MD
PO454993,DEPARTMENT OF HEALTH,MEMBERSHIP DUES 48,$2650.00,01/23/2013,EHEALTH INITIATIVE,818 CONNECTICUT AVE NW  SUITE 500  ; WASHINGTON   ; DC  ; 20006,WASHINGTON   ,DC
PO455027,DEPARTMENT OF GENERAL SERVICES,ELECTRICAL ENGINEERING 31,$38950.00,01/23/2013,SAVAGE TECHNICAL SERVICES,48 R STREET NW   ; WASHINGTON   ; DC  ; 20001,WASHINGTON   ,DC
PO455032,OFFICE OF THE ATTORNEY GENERAL,LEGAL SERVICES INCLUDING DEPOSITIONS AND EXPERT WITNESS TESTIMONY 50,$6000.00,01/23/2013,"ROBERT A. BELFER, MD",16 ISSAC LANE  ; CHERRY HILL  ; NJ  ; 08002,CHERRY HILL  ,NJ
PO454935,DEPARTMENT OF TRANSPORTATION,"PARKING SERVICES: OPERATION, ADMISSION, SUPERVISION 59",$900000.00,01/23/2013,PARKMOBILE USA INC,3200 COBB GALLERIA PARKWAY  STE 100  ; ATLANTA   ; GA  ; 30339,ATLANTA   ,GA
PO454936,DEPARTMENT OF TRANSPORTATION,"PARKING SERVICES: OPERATION, ADMISSION, SUPERVISION 59",$135536.73,01/23/2013,PARKMOBILE USA INC,3200 COBB GALLERIA PARKWAY  STE 100  ; ATLANTA   ; GA  ; 30339,ATLANTA   ,GA
PO455030,DISTRICT DEPARTMENT OF THE ENVIRONMENT,PROFESSIONAL SERVICES (NOT OTHERWISE CLASSIFIED) 58,$16500.00,01/23/2013,SOLARCITY CORPORATION,3055 CLEARVIEW WAY  ; SAN MATEO  ; CA  ; 94402,SAN MATEO  ,CA
PO454942,HOMELAND SECURITY GRANTS,"COMMUNICATIONS: NETWORKING, LINKING, ETC. (INCLUDES CLUSTERING SOFTWARE) 27",$9583.33,01/23/2013,VIRTUAL CORPORATION,98 US HIGHWAY 46 SUITE 12  ; BUDD LAKE   ; NJ  ; 07828,BUDD LAKE   ,NJ
PO440686-V2,DEPARTMENT OF MENTAL HEALTH,"MENTAL HEALTH SERVICES: VOCATIONAL, RESIDENTIAL, ETC. 62",$11000.00,01/23/2013,"MBI HEALTH SERVICES, LLC","4017 MINNESOTA AVENUE, NE    ; WASHINGTON  ; DC  ; 20019-",WASHINGTON  ,DC
PO454987,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,RESOURCE BOOKS AND MATERIALS (NOT OTHERWISE CLASSIFIED) 87,$2945.00,01/23/2013,"THIRD SECTOR NEW ENGLAND, INC.",89 SOUTH STREET STE 700  ; BOSTON  ; MA  ; 02111,BOSTON  ,MA
PO454960,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$4600.00,01/23/2013,CORDELL CARTER,1906 BRISBANE STREET  ; SILVER SPRING  ; MD  ; 20902,SILVER SPRING  ,MD
PO433432-V3,OFFICE OF UNIFIED COMMUNICATIONS,APPLICATIONS SOFTWARE (FOR MAIN FRAME SYSTEMS) 04,$24800.00,01/23/2013,DIRECTAPPS INC,"1430 BLUE OAKS BLVD, STE 270  ; ROSEVILLE  ; CA  ; 95747",ROSEVILLE  ,CA
PO441045-V3,DEPARTMENT OF GENERAL SERVICES,METHANOL (FUEL) 32,$171179.05,01/23/2013,PETROLEUM MARKETING GROUP INC,12680 DARBY BROOKE COURT  ; WOODBRIDGE  ; VA  ; 22192,WOODBRIDGE  ,VA
PO454947,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,EDUCATION AND TRAINING CONSULTING 38,$40600.00,01/23/2013,SCHOOL READINESS CONSULTING,3216 RED ORCHID WAY  ; KENSINGTON  ; MD  ; 20895,KENSINGTON  ,MD
