Name,Address/Phone,CBE#,Certification Categories,Email Address (Public Contact),Expiration Date,Public Contact Name/Phone,Address,AddwUnit,issuite
DC FIRE PROTECTION LLC,"1919 5TH STREET NE, , WASHINGTON, DC / 2025260404",LSDZR65516092014,"ROB, DZE, DBE, SBE, LBE",DCFIREPROCO@AOL.COM,9/26/2014,SAMUEL JONES / 2024216769,1919 5TH ST NE,1919 5TH ST NE ,N
DC General Construction Inc.,"50 RHODE ISLAND AVENUE NE, , WASHINGTON, DC / 2022650010",LSDZ20148072014,"DZE, DBE, SBE, LBE",henok@ustreetparking.com,7/11/2014,Henok Tesfaye / 7036299424,50 RHODE ISLAND AV NE,50 RHODE ISLAND AV NE ,N
"DC Realty Capital Partners, LLC","1301 K STREET NW, Suite 450 A-west, WASHINGTON, DC / 2025211013",LSDZ8326032014,"DZE, DBE, SBE, LBE",cotto@dccpllc.com,3/30/2014,dennis cotto / 2025211013,1301 K ST NW,1301 K ST NW 450,Y
"DC Strategy Group, LLC","3525 ORDWAY STREET NW, , WASHINGTON, DC / 2024256527",LSDR87031032014,"ROB, DBE, SBE, LBE",claire@dcstrategygroup.net,3/30/2014,Claire Bloch / 2024256527,3525 ORDWAY ST NW,3525 ORDWAY ST NW ,N
DC Towing LLC,"2266 25TH PLACE NE, , WASHINGTON, DC / 2026358123",LSZ26454012014,"DZE, SBE, LBE",jim@auto-ayt.com,1/27/2014,Jim Harris / 2402167297,2266 25TH PLACE NE,2266 25TH PLACE NE ,N
De Space Designs,"1123 11TH STREET NW, Suite 300, WASHINGTON, DC / 2028036862",LSDZ12032112014,"DZE, DBE, SBE, LBE",dtaitt@despacedesigns.com,11/9/2014,Diane Taitt-Chandleur / 2028036862,1123 11TH ST NW,1123 11TH ST NW 300,Y
"Delon Hampton & Associates, Chartered","900 7TH STREET NW, Suite 800, WASHINGTON, DC / 2028981999",L23030102013,LBE,dhadc@delonhampton.com,10/14/2013,Delon Hampton / 2028981999,900 7TH ST NW,900 7TH ST NW 800,Y
"Demian + St. Leger, Inc.","1101 PENNSYLVANIA AVENUE SE, Suite 200, WASHINGTON, DC / 2026402929",LSZR27663022015,"ROB, DZE, SBE, LBE",ziad@demianwilbur.com,2/22/2015,Ziad Demian / 2026402929,1101 PENNSYLVANIA AV SE,1101 PENNSYLVANIA AV SE 200,Y
"Design + Construction Strategies, LLC","11 DUPONT CIRCLE NW, Suite 550, WASHINGTON, DC / 2022220610",LS35712062014,"SBE, LBE",phickey@dcstrategies.net,6/25/2014,Peter Hickey / 2022220610,11 DUPONT CIRCLE NW,11 DUPONT CIRCLE NW 550,Y
"Designed Services, Inc.","3215 MARTIN LUTHER KING JR AVENUE SE, , WASHINGTON, DC / 2025613700",LSDZR71610062013,"ROB, DZE, DBE, SBE, LBE",MonicaRay@comcast.net,6/24/2013,Monica Ray / 2025613700,3215 MARTIN LUTHER KING JR AV SE,3215 MARTIN LUTHER KING JR AV SE ,N
DH Construction & Electrical Supply,"568 LEBAUM STREET SE, , WASHINGTON, DC / 2024094369",LSDZ11782092014,"DZE, DBE, SBE, LBE",drrlhodges@gmail.com,9/24/2014,Darel Hodges / 2024094369,568 LEBAUM ST SE,568 LEBAUM ST SE ,N
"DIGIDOC, Inc. T/A Document Manager","510 FLORIDA AVENUE NW, , WASHINGTON, DC / 2022991011",LSDR10996012014,"ROB, DBE, SBE, LBE",dmthornton@documentmanagers.us,1/7/2014,Janel Merritt / 2022991011,510 FLORIDA AV NW,510 FLORIDA AV NW ,N
District Office and Computer Supplies Co.,"1818 NEW YORK AVENUE NE, Suite 208 C, WASHINGTON, DC / 2026351431",LSDZ11433042014,"DZE, DBE, SBE, LBE",WJ777@AOL.COM,4/23/2014,William Thomas / 2026351431,1818 NEW YORK AV NE,1818 NEW YORK AV NE 208,Y
District Relocators llc,"627 ALABAMA AVENUE SE, , WASHINGTON, DC / 8002674548",LSZR74031052013,"ROB, DZE, SBE, LBE",info@districtrelocators.com,5/6/2013,Corey Roberts / 2025287831,627 ALABAMA AV SE,627 ALABAMA AV SE ,N
District Supply,"7702 GEORGIA AVENUE NW, Suite 200, WASHINGTON, DC / 2025419860",LSD4395032013,"DBE, SBE, LBE",info@districtsupplyinc.com,3/25/2013,Paul Williams / 2025419860,7702 GEORGIA AV NW,7702 GEORGIA AV NW 200,Y
District Transportation and Parking Consultants,"158 G STREET SW, , WASHINGTON, DC / 2023692337",LSDR60146092014,"ROB, DBE, SBE, LBE",dtpcinc@gmail.com,9/7/2014,Fetsum Amare / 2023692337,158 G ST SW,158 G ST SW ,N
"District Veterans Contracting, Inc.","3172 BLADENSBURG ROAD NE, Unit B, WASHINGTON, DC / 2023866030",LSDZV24481122013,"VOB, DZE, DBE, SBE, LBE",lgross@districtvetcon.com,12/8/2013,Steven Gross / 2023866030,3172 BLADENSBURG RD NE,3172 BLADENSBURG RD NE ,N
"Diversified Enterprises Group, LLC","717 D STREET NW, Suite 300, WASHINGTON, DC / 2023706314",LSDZR40685062014,"ROB, DZE, DBE, SBE, LBE",ringram@diversifiedenterprisesgroup.com,6/29/2014,E Renee Ingram / 2023706314,717 D ST NW,717 D ST NW 300,Y
"Diversified Environmental, Inc. (Formerly LLC)","2800 10TH STREET NE, , WASHINGTON, DC / 2022691442",LSD73063022015,"DBE, SBE, LBE",curt@diversifiedcorporation.com,2/22/2015,Curt Thomas / 2023592236,2800 10TH ST NE,2800 10TH ST NE ,N
"Diversified Transportation Services, Inc.","30 KENNEDY STREET NW, , WASHINGTON, DC / 2025450360",LSD13967112013,"DBE, SBE, LBE",ride@diversifiedtransportation.net,11/18/2013,Oji Onuma / 2025450360,30 KENNEDY ST NW,30 KENNEDY ST NW ,N
DJs Hospitality Services,"3014 M STREET SE, , WASHINGTON, DC / 2023611800",LSDR26555092013,"ROB, DBE, SBE, LBE",djshospitality@gmail.com,9/2/2013,Durce Johnson / 2023611800,3014 M ST SE,3014 M ST SE ,N
"DLC and Associates, LLC","3358 BLAINE STREET NE, , WASHINGTON, DC / 2023992660",LSDR2799062014,"ROB, DBE, SBE, LBE",dlc@dlcassoc.org,6/1/2014,Dianne Hampton / 2023992660,3358 BLAINE ST NE,3358 BLAINE ST NE ,N
DMD&C,"727 15TH STREET NW, , WASHINGTON, DC / 2026745374",LSDZR55484062014,"ROB, DZE, DBE, SBE, LBE",DMDC_Inc@yahoo.com,6/8/2014,Manar Iqbalperbaksh PhD / 2026745374,727 15TH ST NW,727 15TH ST NW ,N
DMV Cleaning Services,"2041 MARTIN LUTHER KING JR AVENUE SE, Suite 205, WASHINGTON, DC / 2025567978",LSDZ46415062014,"DZE, DBE, SBE, LBE",info@dmvcleaning.com,6/19/2014,Titus Thomas / 2403505796,2041 MARTIN LUTHER KING JR AV SE,2041 MARTIN LUTHER KING JR AV SE 205,Y
"Docsav Industries, Inc.","1112 BUCHANAN STREET NW, , WASHINGTON, DC / 2027262360",LSDR76333072013,"ROB, DBE, SBE, LBE",docsavinc@onebox.com,7/28/2013,James B Wilson / 2027262360,1112 BUCHANAN ST NW,1112 BUCHANAN ST NW ,N
Doctor's Medical Supplies,"38 PORTER STREET NE, , WASHINGTON, DC / 2025364838",LSDZ66837102014,"DZE, DBE, SBE, LBE",info@totalhealthcaresolutions.biz,10/22/2014,Christopher Isaacs / 2025364838,38 PORTER ST NE,38 PORTER ST NE ,N
"Document Systems, Inc.","333 HAWAII AVENUE NE, Suite 200, WASHINGTON, DC / 2024668383",LSDZR93150082013,"ROB, DZE, DBE, SBE, LBE",jlimerick@docsysinc.com,8/12/2013,Joel Limerick / 2024668383,333 HAWAII AV NE,333 HAWAII AV NE 200,Y
"Dominion Electric Supply of Washington, LLC","22 K STREET NE, , WASHINGTON, DC / 2027890500",LZ70006072013,"DZE, LBE",gjacks@descowashington.com,7/15/2013,Gerald Jackson / 2027890500,22 K ST NE,22 K ST NE ,N
"Dominique Medical Transportation Services, LLC","4953 6TH STREET NE, , WASHINGTON, DC / 2403501702",LSDR47278032014,"ROB, DBE, SBE, LBE",info@innovativemedicaltransport.com,3/9/2014,Thomas Dominique / 2023003564,4953 6TH ST NE,4953 6TH ST NE ,N
Douglas & Boykin PLLC,"1850 M STREET NW, Suite 640, WASHINGTON, DC / 2027760370",LS26662022014,"SBE, LBE",cmilihram@DouglasBoykin.COM,2/17/2014,Curtis Boykin / 2027760370,1850 M ST NW,1850 M ST NW 640,Y
"Dove Cab Company, LLC","1810 EDWIN STREET NE, , WASHINGTON, DC / 2404187909",LSD45175102014,"DBE, SBE, LBE",tsegaye@franklinparking.com,10/19/2014,Tsegaye Tadesse / 2404187909,1810 EDWIN ST NE,1810 EDWIN ST NE ,N
DP Consultants,"1313 VERMONT AVENUE NW, #17, WASHINGTON, DC / 2023874189",LSDZR28032092014,"ROB, DZE, DBE, SBE, LBE",dcpratt@dpconsultants.net,9/24/2014,Diane Pratt / 2023874189,1313 VERMONT AV NW,1313 VERMONT AV NW 17,Y
DP MM LLC,"72 V STREET NW, , WASHINGTON, DC / 2025880622",LSDZR88541042014,"ROB, DZE, DBE, SBE, LBE",buwa@dantespartners.com,4/13/2014,Buwa Binite /,72 V ST NW,72 V ST NW ,N
DP West ENd LLC,"72 V STREET NW, , WASHINGTON, DC / 2025880622",LSZR18402122013,"ROB, DZE, SBE, LBE",buwa@dantespartners.com,12/2/2013,Buwa Binitie / 2025880662,72 V ST NW,72 V ST NW ,N
DRIVEWAYS&HIGHWAYS LLC,"1810 EDWIN STREET NE, SUITE 202, WASHINGTON, DC / 2025291414",LSZ66863072013,"DZE, SBE, LBE",avtarsing@verizon.net,7/15/2013,AVTAR SINGH / 2022362155,1810 EDWIN ST NE,1810 EDWIN ST NE 202,Y
"DSS Consulting & Services, Inc.","3109 MARTIN LUTHER KING JR AVENUE SE, Suite 10, WASHINGTON, DC / 2025610041",LSDZ14373062013,"DZE, DBE, SBE, LBE",dsadeq@dss-services.com,6/24/2013,Dawud Sadeq / 2025610041,3109 MARTIN LUTHER KING JR AV SE,3109 MARTIN LUTHER KING JR AV SE 10,Y
"Dupont Computers, Inc.","1761 S STREET NW, , WASHINGTON, DC / 2022326363",LSDX88326092013,"LRB, DBE, SBE, LBE",sales@dci-online.com,9/8/2013,Nedal Elshaer / 2022326363,1761 S ST NW,1761 S ST NW ,N
"DUPONT SALES & SERVICES, INC.","1415 21ST STREET NW, SUITE 1A, WASHINGTON, DC / 2029049514",LSZR81099082013,"ROB, DZE, SBE, LBE",dvbaum@hotmail.com,8/8/2013,DON BAUM / 2029049514,1415 21ST ST NW,1415 21ST ST NW 1,Y
dwsecnet,"211 K STREET SW, , WASHINGTON, DC / 2024506110",LSDZR3321112013,"ROB, DZE, DBE, SBE, LBE",dwight.walker445@gmail.com,11/18/2013,Dwight Walker / 2024506110,211 K ST SW,211 K ST SW ,N
"Dynamic Concepts, Inc.","1730 17TH STREET NE, , WASHINGTON, DC / 2029448787",LSZXR44760042013,"ROB, LRB, DZE, SBE, LBE",galfonso@dcihq.com,4/8/2013,Gabrielle Alfonso / 2029448787,1730 17TH ST NE,1730 17TH ST NE ,N
Dynamic Contracting Inc,"1001 4TH STREET NW, Ste 301, WASHINGTON, DC / 2024085009",LSDZ45237062014,"DZE, DBE, SBE, LBE",mariac@dynamic-contracting.com,6/25/2014,maria cartagena / 2024085009,1001 4TH ST NW,1001 4TH ST NW 301,Y
Dynamic E-World Technology Training,"1875 MINTWOOD PLACE NW, #33, WASHINGTON, DC / 2022654419",LSDR13024122013,"ROB, DBE, SBE, LBE",lloydde@mindspring.com,12/30/2013,Dale E. Lloyd / 2022654419,1875 MINTWOOD PLACE NW,1875 MINTWOOD PLACE NW 33,Y
Dynamic Steel LLC,"1020 16TH STREET NW, , WASHINGTON, DC / 6787564423",LSD35050082014,"DBE, SBE, LBE",ej@dynamicsteel.us,8/16/2014,Ebraima Jagana / 6787564423,1020 16TH ST NW,1020 16TH ST NW ,N
E & M Auto Repair Inc. T/A Aamco Transmissions,"1001 BLADENSBURG ROAD NE, , WASHINGTON, DC / 2023977636",LSZ6704042013,"DZE, SBE, LBE",Aamcodc27@yahoo.com,4/29/2013,Young Yoo / 2023977636,1001 BLADENSBURG RD NE,1001 BLADENSBURG RD NE ,N
E Construction Group Inc,"1300 PENNSYLVANIA AVENUE NW, Suite G-0328, WASHINGTON, DC / 2022160077",LS53944052013,"SBE, LBE",ssingh@econstructiongroupgc.com,5/20/2013,Sharon Singh / 2022160077,1300 PENNSYLVANIA AV NW,1300 PENNSYLVANIA AV NW 0328,Y
E&H Contracting LLC,"2310 MINNESOTA AVENUE SE, , WASHINGTON, DC / 2022625970",LSZ31066112014,"DZE, SBE, LBE",mhancock1234@comcast.net,11/16/2014,Michael Hancock / 2022625970,2310 MINNESOTA AV SE,2310 MINNESOTA AV SE ,N
E. C. Lyon Electric Company,"3719 12TH STREET NE, 101, WASHINGTON, DC / 2027444320",LSR86795012014,"ROB, SBE, LBE",eclyon@hotmail.com,1/20/2014,Enrique C. Lyon / 2026357680,3719 12TH ST NE,3719 12TH ST NE 101,Y
"E.R. Bacon Development, LLC","4725 WISCONSIN AVENUE NW, Suite 200, WASHINGTON, DC / 2022443696",LSDR54242112014,"ROB, DBE, SBE, LBE",ebacon@erbacondevelopment.com,11/9/2014,Elinor Bacon / 2022443696,4725 WISCONSIN AV NW,4725 WISCONSIN AV NW 200,Y
"E2C Group, LLC","1514 UPSHUR STREET NW, , WASHINGTON, DC / 2026304322",LSDZR52906052013,"ROB, DZE, DBE, SBE, LBE",DIF1@aol.com,5/6/2013,Denise Fields / 2026304322,1514 UPSHUR ST NW,1514 UPSHUR ST NW ,N
"Eagle Construction Solutions, LLC","7600 GEORGIA AVENUE NW, , WASHINGTON, DC / 2026109978",LSDV37639082013,"VOB, DBE, SBE, LBE",wgilmore.ecs@gmail.com,8/19/2013,Willie Gilmore / 3017179908,7600 GEORGIA AV NW,7600 GEORGIA AV NW ,N
Eagle Eyes Security Company,"4560 C STREET SE, , WASHINGTON, DC / 2026294872",LSDR18723102013,"ROB, DBE, SBE, LBE",carpentersyouthservices@gmail.com,10/28/2013,Jackie Carpenter / 2026294873,4560 C ST SE,4560 C ST SE ,N
Eagle Organics,"611 L STREET NW, 475 K street apt 627, WASHINGTON, DC / 2024383031",LSDZR93030022015,"ROB, DZE, DBE, SBE, LBE",tynes202@yahoo.com,2/15/2015,Richard Tynes / 2024383031,611 L ST NW,611 L ST NW 475,Y
"EagleVision Ventures, LLC","700 12TH STREET NW, Suite 700, WASHINGTON, DC / 2027760010",LSDZR86972052014,"ROB, DZE, DBE, SBE, LBE",tbaker@eaglevisionventures.com,5/8/2014,Therman Baker / 2027760010,700 12TH ST NW,700 12TH ST NW 700,Y
Eapen Enterprises,"1150 K STREET NW, Suite 810, WASHINGTON, DC / 3015377916",LSDZ39641062014,"DZE, DBE, SBE, LBE",aeapen@eapenenterprises.com,6/28/2014,Aji Eapen / 3015377916,1150 K ST NW,1150 K ST NW 810,Y
"Eason Associates, Inc.","1620 L STREET NW, , WASHINGTON, DC / 2022239293",LS98084082013,"SBE, LBE",becky@easonassociates.com,8/8/2013,Becky Eason / 2022239293,1620 L ST NW,1620 L ST NW ,N
EastBanc,"3307 M STREET NW, Suite 200, WASHINGTON, DC / 2027371000",LSZXR33601082013,"ROB, LRB, DZE, SBE, LBE",ceharvey@lscaldwell.com,8/29/2013,Benjamin Sonnett / 2029442143,3307 M ST NW,3307 M ST NW 200,Y
"EastBanc Technologies, LLC (Formerly known as AlaZar LLC)","3312 M STREET NW, , WASHINGTON, DC / 2022953000",LSZR46622072013,"ROB, DZE, SBE, LBE",bconforti@eastbanctech.com,7/15/2013,Bill Conforti / 2022953000,3312 M ST NW,3312 M ST NW ,N
Eastern Plumbing Supply Inc,"1121 FLORIDA AVENUE NE, , WASHINGTON, DC / 2023990999",LSD1074032014,"DBE, SBE, LBE",easternsupply@gmail.com,3/30/2014,Sung Jun / 2023990999,1121 FLORIDA AV NE,1121 FLORIDA AV NE ,N
"Ebert & Baumann Consulting Engineers, Inc.","734 15TH STREET NW, Suite 1000, WASHINGTON, DC / 2026081334",LSZR84582042013,"ROB, DZE, SBE, LBE",contact@eb-engineers.com,4/22/2013,Oliver Baumann / 2026081334,734 15TH ST NW,734 15TH ST NW 1000,Y
"Eco-Coach, Inc.","1415 CHAPIN STREET NW, #302, WASHINGTON, DC / 2025590777",LSZR30312052013,"ROB, DZE, SBE, LBE",anca@eco-coach.com,5/27/2013,Anca Novacovici /,1415 CHAPIN ST NW,1415 CHAPIN ST NW 302,Y
ECS Capitol Services PLLC,"655 15TH STREET NW, Lobby Level, WASHINGTON, DC / 2024002188",LZ33929022014,"DZE, LBE",wpratt@ecslimited.com,2/10/2014,William Pratt / 2024002188,655 15TH ST NW,655 15TH ST NW ,N
"Edward M. Johnson & Associates, P.C.","3612 12TH STREET NE, , WASHINGTON, DC / 2025263610",LS16039072014,"SBE, LBE",edithj@emjohnson.com,7/25/2014,Edward Johnson / 2025263610,3612 12TH ST NE,3612 12TH ST NE ,N
"EEC of DC, Inc.","1405 H STREET NE, 5, WASHINGTON, DC / 2026352189",LSDZR49043072013,"ROB, DZE, DBE, SBE, LBE",andre@eecofdc.com,7/15/2013,Andre Downey / 2026352189,1405 H ST NE,1405 H ST NE 5,Y
"Effective Management, Inc.","1020 ANDERSON PLACE SE, , WASHINGTON, DC / 2026693150",LSDZR42569092014,"ROB, DZE, DBE, SBE, LBE",effecmgtinc@gmail.com,9/6/2014,Brenda Jones / 2026693150,1020 ANDERSON PLACE SE,1020 ANDERSON PLACE SE ,N
EGEM CCM Inc.,"1419 18TH PLACE SE, , WASHINGTON, DC / 2022577878",LSDZR85264052013,"ROB, DZE, DBE, SBE, LBE",meiklemarcus@gmail.com,5/20/2013,Marcus Meikle / 2022577878,1419 18TH PLACE SE,1419 18TH PLACE SE ,N
"EHT Traceries, Inc.","1121 5TH STREET NW, , WASHINGTON, DC / 2023931199",LS24390092013,"SBE, LBE",emily.eig@traceries.com,9/23/2013,Emily Hotaling Eig / 2023931199,1121 5TH ST NW,1121 5TH ST NW ,N
"Eller Group DC, LLC","2300 M STREET NW, Suite 800, WASHINGTON, DC / 2027472595",LSZ51198072013,"DZE, SBE, LBE",weller@ellergroupdc.com,7/29/2013,Wade Eller / 2027472595,2300 M ST NW,2300 M ST NW 800,Y
Elocen Group,"1341 H STREET NE, Suite 201, WASHINGTON, DC / 2023992116",LSD1849022014,"DBE, SBE, LBE",Necolep@elocengroup.com,2/10/2014,Necole Parker / 2023992116,1341 H ST NE,1341 H ST NE 201,Y
Emerald Star Cleaning LLC,"1613 4TH STREET NW, , WASHINGTON, DC / 2024215414",LSDZR54659042013,"ROB, DZE, DBE, SBE, LBE",tinico81@yahoo.com,4/14/2013,Timeka Cobb / 2024215414,1613 4TH ST NW,1613 4TH ST NW ,N
Emergency 911 Security,"4700 MINNESOTA AVENUE NE, , WASHINGTON, DC / 2025464200",LSDZR88334072014,"ROB, DZE, DBE, SBE, LBE",Rholden@emergency911security.com,7/25/2014,Robyn Holden / 2025464200,4700 MINNESOTA AV NE,4700 MINNESOTA AV NE ,N
Emotive Architecture,"1102 8TH STREET NE, , WASHINGTON, DC / 2024705770",LSZR17421122013,"ROB, DZE, SBE, LBE",jgrant@emotivearch.com,12/8/2013,Jason Grant /,1102 8TH ST NE,1102 8TH ST NE ,N
"Empowerment Technology, Inc. (formerly LLC)","603 FLORIDA AVENUE NW, , WASHINGTON, DC / 2022329086",LSDZR31420042013,"ROB, DZE, DBE, SBE, LBE",ttyson@empowerment-tec.com,4/1/2013,Tabitha D. Tyson / 2022329086,603 FLORIDA AV NW,603 FLORIDA AV NW ,N
Enlightened Inc.,"1100 15TH STREET NW, SUITE 300, WASHINGTON, DC / 2027287190",LSDZR97847072013,"ROB, DZE, DBE, SBE, LBE",alayous@ENLIGHTENED.com,7/29/2013,Antwanye Ford / 2027287190,1100 15TH ST NW,1100 15TH ST NW 300,Y
Enovational Corp,"4320 KANSAS AVENUE NW, , WASHINGTON, DC / 3018018945",LSR59953102013,"ROB, SBE, LBE",vlad@enovational.com,10/14/2013,Vlad Enache / 3018018945,4320 KANSAS AV NW,4320 KANSAS AV NW ,N
Entigence Corporation,"1920 L STREET NW, Suite 415, WASHINGTON, DC / 2024298847",LSZ42778112013,"DZE, SBE, LBE",ejackson@entigence.com,11/10/2013,Mahasweta Sen /,1920 L ST NW,1920 L ST NW 415,Y
"Environmental Resources, LLC","142 YUMA STREET SE, , WASHINGTON, DC / 2025625326",LSDZR90148052014,"ROB, DZE, DBE, SBE, LBE",joei.jennings@hotmail.com,5/21/2014,Joei Jennings / 2025625326,142 YUMA ST SE,142 YUMA ST SE ,N
"Envision Design, PLLC","1211 CONNECTICUT AVENUE NW, 250, WASHINGTON, DC / 2027759000",LS33731052014,"SBE, LBE",dhorvat@envisionsite.com,5/21/2014,Diana A. Horvat / 2027759000,1211 CONNECTICUT AV NW,1211 CONNECTICUT AV NW 250,Y
"EPark of DC, Inc.","30 MASSACHUSETTS AVENUE NE, , WASHINGTON, DC / 2028981950",LSZ41905072014,"DZE, SBE, LBE",svikas@msn.com,7/17/2014,Stephen Dubuc / 2028981950,30 MASSACHUSETTS AV NE,30 MASSACHUSETTS AV NE ,N
Esocoff & Associates,"1150 17TH STREET NW, SUITE 800, WASHINGTON, DC / 2026821600",LSR55650022014,"ROB, SBE, LBE",jmurray@esocoff.com,2/10/2014,Philip Esocoff / 2026821600,1150 17TH ST NW,1150 17TH ST NW 800,Y
Everyday Green,"1877 INGLESIDE TERRACE NW, , WASHINGTON, DC / 2022136984",LSR29741062014,"ROB, SBE, LBE",andrea@everydaygreendc.com,6/29/2014,Andrea Foss / 2022136984,1877 INGLESIDE TERRACE NW,1877 INGLESIDE TERRACE NW ,N
Excel cleaning service,"1630 19TH STREET NW, Suite B2, WASHINGTON, DC / 2023405055",LSDZR97632072014,"ROB, DZE, DBE, SBE, LBE",excelcleaningjb@hotmail.com,7/25/2014,jermaine brown / 2023405055,1630 19TH ST NW,1630 19TH ST NW 2,Y
Executive Contractors LLC,"6413 9TH STREET NW, , WASHINGTON, DC / 2022914622",LSDR96092092013,"ROB, DBE, SBE, LBE",arexecutive@yahoo.com,9/16/2013,Anthony Richards / 2022914622,6413 9TH ST NW,6413 9TH ST NW ,N
"Expediting and Regulatory Services Inc,","5427 14TH STREET NW, , WASHINGTON, DC / 2022491600",LSDR30286102014,"ROB, DBE, SBE, LBE",mwilliams@lscaldwell.com,10/19/2014,Douglas Foster / 2024875517,5427 14TH ST NW,5427 14TH ST NW ,N
Express Auto Repair dba/Rapid Taxi Cab,"6000 SLIGO MILL ROAD NE, , WASHINGTON, DC / 2023798324",LSR12538092014,"ROB, SBE, LBE",airportexpress@verizon.net,9/24/2014,Wondwosen Shiferaw / 2023798324,6000 SLIGO MILL RD NE,6000 SLIGO MILL RD NE ,N
"F & L Construction, Inc.","1512 GOOD HOPE ROAD SE, , WASHINGTON, DC / 2026785788",LSDZ77597042013,"DZE, DBE, SBE, LBE",flconstruction84@comcast.net,4/8/2013,Freddie Winston / 2026785788,1512 GOOD HOPE RD SE,1512 GOOD HOPE RD SE ,N
"F. S. Taylor & Associates, P.C.","1420 N STREET NW, Suite 100, WASHINGTON, DC / 2028980008",LSDX39258022015,"LRB, DBE, SBE, LBE",linda@fstaylor.com,2/15/2015,Rachel Locus / 2028980008,1420 N ST NW,1420 N ST NW 100,Y
"Fahrenheit, LLC","1054 31ST STREET NW, Suite 140, WASHINGTON, DC / 2029444099",LS42194092013,"SBE, LBE",dorothyaustin@fahrenheitllc.com,9/16/2013,Carla Enterline-Heger / 2029444099,1054 31ST ST NW,1054 31ST ST NW 140,Y
"FahrenHight Hospitality, Inc.","6 QUINCY PLACE NE, , WASHINGTON, DC / 2022771907",LSDZR13672082013,"ROB, DZE, DBE, SBE, LBE",FahrenHight@verizon.net,8/19/2013,Bryan Hight / 2022771907,6 QUINCY PLACE NE,6 QUINCY PLACE NE ,N
"Fairness Environmental Services, Inc.","3109 MARTIN LUTHER KING JR AVENUE SE, Suite 4, WASHINGTON, DC / 2025631040",LSDZ97977122013,"DZE, DBE, SBE, LBE",rmartin@fairnessenvir.com,12/8/2013,Ruby Martin / 2025631040,3109 MARTIN LUTHER KING JR AV SE,3109 MARTIN LUTHER KING JR AV SE 4,Y
"Faith Management Consulting Inc. (formerly known as Faith Office Products, Inc.)","3417 MINNESOTA AVENUE SE, , WASHINGTON, DC / 2025751370",LSDZR79598102013,"ROB, DZE, DBE, SBE, LBE",faioffpro@hotmail.com,10/14/2013,Tracey Whitaker / 2022704620,3417 MINNESOTA AV SE,3417 MINNESOTA AV SE ,N
"Farr, MIller & Washington LLC","1020 19TH STREET NW, Suite 200, WASHINGTON, DC / 2025305600",LSZ56150122014,"DZE, SBE, LBE",mfox@farrmiller.com,12/20/2014,Michael Fox / 2025305686,1020 19TH ST NW,1020 19TH ST NW 200,Y
"FDS Design Studio, LLC","2156 WISCONSIN AVENUE NW, , WASHINGTON, DC / 2023621070",LSZR10053112014,"ROB, DZE, SBE, LBE",scolombina@fdsdesignstudio.com,11/20/2014,Stephane Colombina / 2023621070,2156 WISCONSIN AV NW,2156 WISCONSIN AV NW ,N
Federal Garage Management LLC,"3338 SHERMAN AVENUE NW, , WASHINGTON, DC / 2024090811",LSZR87018082014,"ROB, DZE, SBE, LBE",billboyledc@gmail.com,8/3/2014,William Boyle / 2024090811,3338 SHERMAN AV NW,3338 SHERMAN AV NW ,N
"Federal Management Systems, Inc.","462 K STREET NW, , WASHINGTON, DC / 2028423003",LZR16197022015,"ROB, DZE, LBE",astephenson@fmshq.com,2/5/2015,Aubrey Stephenson / 2028423003,462 K ST NW,462 K ST NW ,N
"Feldesman Tucker Leifer Fidell , LLP","1129 20TH STREET NW, 4th Floor, WASHINGTON, DC / 2024668960",LX46599052013,"LRB, LBE",zbeckerman@feldesmantucker.com,5/6/2013,J. ZoÃ« Beckerman / 2024668960,1129 20TH ST NW,1129 20TH ST NW 4,Y
"Fells Masonry And Concrete Construction, LLC","1522 GOOD HOPE ROAD SE, 2-B, WASHINGTON, DC / 2025447060",LSDZ70767022015,"DZE, DBE, SBE, LBE",wjackson@vlfmaccounting.com,2/15/2015,Larry Fells / 2025447060,1522 GOOD HOPE RD SE,1522 GOOD HOPE RD SE 2,Y
FESCUM INC,"404 KENTUCKY AVENUE SE, , WASHINGTON, DC / 3014422521",LSZR18744042014,"ROB, DZE, SBE, LBE",fescuminc@yahoo.com,4/20/2014,Tammy IJITI / 3018771891,404 KENTUCKY AV SE,404 KENTUCKY AV SE ,N
FIELD CONSTRUCTION LLC,"1221 CARROLLSBURG PLACE SW, , WASHINGTON, DC / 2026460214",LSZR65439052013,"ROB, DZE, SBE, LBE",sharaine.ely@mac.com,5/6/2013,SHARAINE ELY / 2025381763,1221 CARROLLSBURG PLACE SW,1221 CARROLLSBURG PLACE SW ,N
FIRST CHOICE MASONRY,"1818 NEW YORK AVENUE NE, SUITE 216, WASHINGTON, DC / 2025290195",LSDZ27466082013,"DZE, DBE, SBE, LBE",cjonesbricks@yahoo.com,8/19/2013,CORY JONES / 3015365121,1818 NEW YORK AV NE,1818 NEW YORK AV NE 216,Y
"First Insurance Management of DC, LLC","1020 16TH STREET NW, , WASHINGTON, DC / 2028223939",LS2464072014,"SBE, LBE",thuff1123@comcast.net,7/16/2014,Tawanda Huff / 4437942148,1020 16TH ST NW,1020 16TH ST NW ,N
