Company Name,Business Structure,Certification Categories,Company Status,Email Address (Public Contact),Expiration Date,NIGP Codes
,,,,,,"Seats and Parts, Automotive,"
,,,,,,"HORNS AND PARTS, AUTOMOTIVE,"
,,,,,,"Switches and Flashers, Automotive,"
,,,,,,"FLASHERS, HEAVY DUTY, AUTOMOTIVE,"
,,,,,,"PARTS, FLASHER, AUTOMOTIVE,"
,,,,,,"PARTS, AUTOMOTIVE SWITCH,"
,,,,,,"SWITCHES, AUTOMOTIVE - BRAND LISTED OR EQUAL,"
,,,,,,"ANTIFREEZE, AUTOMOTIVE, CORROSION INHIBITIVE,"
,,,,,,"ANTIFREEZE, AUTOMOTIVE, EXTENDED LIFE,"
,,,,,,"ANTIFREEZE, AUTOMOTIVE, PROPYLENE GLYCOL,"
,,,,,,"BATTERIES, STORAGE, AUTOMOTIVE, MISC. (BRAND LISTED OR EQUAL),"
,,,,,,"CABLES, AUTOMOTIVE, LOW TENSION, PLASTIC,"
,,,,,,"FUSE HOLDERS, FOR AUTOMOTIVE FUSES OF 1/4 IN. DIA. - BRAND LISTED OR EQUAL,"
,,,,,,"LOOMS, WIRE, PLASTIC (AUTOMOTIVE),"
,,,,,,"STOPS, CABLE, AUTOMOTIVE,"
,,,,,,"CLAMPS, HOSE, AUTOMOTIVE (IDEAL OR EQUAL),"
,,,,,,"CAPS, RADIATOR, AUTOMOTIVE - GATES OR EQUAL,"
,,,,,,"RADIATORS, AUTOMOTIVE, NEW,"
,,,,,,"THERMOSTATS, AUTOMOTIVE - IDEAL OR EQUAL,"
,,,,,,"THERMOSTATS, AUTOMOTIVE - BRAND LISTED OR EQUAL,"
,,,,,,"ALTERNATORS, AUTOMOTIVE, BRAND LISTED OR EQUAL,"
,,,,,,"ALTERNATOR COMPONENTS, AUTOMOTIVE, BRAND LISTED OR EQUAL,"
,,,,,,"BREAKERS, CIRCUIT - AUTOMOTIVE - BRAND LISTED OR EQUAL,"
,,,,,,"PARTS AND ACCESSORIES, AUTOMOTIVE COIL,"
,,,,,,"DISTRIBUTORS, AUTOMOTIVE - BRAND LISTED OR EQUAL,"
,,,,,,"RELAYS, MISC., AUTOMOTIVE (BRAND LISTED OR EQUAL),"
,,,,,,"STARTERS, AUTOMOTIVE - BRAND LISTED OR EQUAL,"
,,,,,,"ADAPTERS, AUTOMOTIVE WIRING,"
,,,,,,"PARTS, ELECTRICAL, AUTOMOTIVE ( MISC.),"
,,,,,,"ENGINES, GASOLINE, AUTOMOTIVE,"
,,,,,,"PARTS, AIR CLEANER (AUTOMOTIVE),"
,,,,,,"FILTER KITS, AUTOMOTIVE (MISC.),"
,,,,,,"Fuses, Automotive,"
,,,,,,"FUSES, AUTOMOTIVE,"
,,,,,,"PARTS AND ACCESSORIES, AUTOMOTIVE FUSE,"
,,,,,,"GASKETS, AUTOMOTIVE, MISC (BRAND LISTED OR EQUAL),"
,,,,,,"GASKET MATERIAL, AUTOMOTIVE,"
,,,,,,"GLASS, CURVED, AUTOMOTIVE,"
,,,,,,"SEALER, AUTOMOTIVE GLASS,"
,,,,,,"HOSE, HYDRAULIC, AUTOMOTIVE,"
,,,,,,"HOSE, LOW PRESSURE, AUTOMOTIVE,"
,,,,,,"PUMPS, HYDRAULIC, AUTOMOTIVE (BRAND LISTED OR EQUAL),"
,,,,,,"SEALS, HYDRAULIC SYSTEM, AUTOMOTIVE,"
,,,,,,"U-JOINTS, AUTOMOTIVE - BRAND LISTED OR EQUAL,"
,,,,,,"Recycled Automotive Parts,"
,,,,,,"ANTIFREEZE, AUTOMOTIVE, RECYCLED,"
,,,,,,"ANTIFREEZE, AUTOMOTIVE, RECYCLED, 50/50 MIX,"
,,,,,,"GASKETS, AUTOMOTIVE - FORD (ORIG. EQUIP.),"
,,,,,,"HOSES, AUTOMOTIVE - FORD (ORIG. EQUIP.),"
,,,,,,"LAMPS, LENS, AND FLASHERS, AUTOMOTIVE - FORD (ORIG. EQUIP.),"
,,,,,,"SEALS, AUTOMOTIVE - FORD (ORIG. EQUIP.),"
,,,,,,"SWITCHES, AUTOMOTIVE - FORD (ORIG. EQUIP.),"
,,,,,,"BEARINGS, AUTOMOTIVE - INTERNATIONAL (ORIG. EQUIP.),"
,,,,,,"BODY PARTS AND COMPONENTS, AUTOMOTIVE - INTERNATIONAL (ORIG. EQUIP.),"
,,,,,,"GAUGES, AUTOMOTIVE - INTERNATIONAL (ORIG. EQUIP.),"
,,,,,,"HOSE, AUTOMOTIVE - INTERNATIONAL (ORIG. EQUIP.),"
,,,,,,"LAMPS AND FLASHERS, AUTOMOTIVE - INTERNATIONAL (ORIG. EQUIP.),"
,,,,,,"LENS, AUTOMOTIVE LAMP - INTERNATIONAL (ORIG. EQUIP.),"
,,,,,,"SWITCHES, AUTOMOTIVE - INTERNATIONAL (ORIG. EQUIP.),"
,,,,,,"O-RINGS, AUTOMOTIVE, NATIONAL OR EQUAL,"
,,,,,,"SEALS, MISC. AUTOMOTIVE,"
,,,,,,"SEALS, VALVE, AUTOMOTIVE,"
,,,,,,"BEARINGS, AUTOMOTIVE, MISC. (BRAND LISTED OR EQUAL),"
,,,,,,"BEARINGS, ROLLER (AUTOMOTIVE),"
,,,,,,"SEALS, OIL, AUTOMOTIVE - CHICAGO RAWHIDE OR EQUAL,"
,,,,,,"SEALS, OIL, AUTOMOTIVE - NATIONAL OR EQUAL,"
,,,,,,"WHEELS, AUTOMOTIVE,"
,,,,,,"WHEEL PARTS AND ACCESSORIES, AUTOMOTIVE,"
,,,,,,"BELTS, FLAT, AUTOMOTIVE,"
,,,,,,"V-Belts, Automotive Fan and Generator,"
,,,,,,"GREASE, AUTOMOTIVE, CHASSIS,"
,,,,,,"GREASE, AUTOMOTIVE, GEAR,"
,,,,,,"GREASE, AUTOMOTIVE, LIGHT,"
,,,,,,"Oil, Automotive Transmission,"
,,,,,,"Oil, Automotive Engine,"
,,,,,,"PAINT, AUTOMOTIVE, REGULAR,"
,,,,,,"PAINT, AUTOMOTIVE, ENAMEL, LEAD FREE,"
,,,,,,"PAINT, AUTOMOTIVE, ACRYLIC ENAMEL, LEAD FREE,"
,,,,,,"PAINT, AUTOMOTIVE, SPRAY ENAMEL, GLOSS,"
,,,,,,"PAINT, AUTOMOTIVE, ENAMEL, BAKING SPRAY,"
,,,,,,"PAINT, AUTOMOTIVE ENGINE, ENAMEL,"
,,,,,,"PRIMER SEALER, AUTOMOTIVE, ACRYLIC ENAMEL, ACRYLIC LACQUER, LEAD FREE,"
,,,,,,"REDUCERS, AUTOMOTIVE, ENAMEL, ACRYLIC ENAMEL AND URETHANE, LEAD FREE,"
,,,,,,"THINNERS, REDUCERS, MINERAL SPIRITS, ALCOHOLS, AROMATIC SOLVENTS, TURPENTINE, NAPTHA, ETC. (NOT AUTOMOTIVE),"
,,,,,,"THINNERS, AUTOMOTIVE, LACQUER AND ACRYLIC LACQUER, LEAD FREE,"
,,,,,,"Oil Pumps and Accessories (See 060-64 for Automotive Type),"
,,,,,,"Water Pumps and Accessories (See 060-35 for Automotive Type),"
,,,,,,"Brake and Clutch Parts and Accessories For Heavy Duty Equipment (Not Automotive),"
,,,,,,"Accessories (Not Otherwise Classified) Maintenance and Repair,"
,,,,,,"Alignment and Wheel Balancing (Including Front-End Repair),"
,,,,,,"ALIGNMENT SERVICES, WHEEL,"
,,,,,,"BALANCING SERVICES, WHEEL,"
,,,,,,"Automobile and Other Passenger Vehicles Maint. and Repair (Not Otherwise Classified),"
,,,,,,"Body and Frame Work (Including Undercoating),"
,,,,,,"Brake Maintenance and Repair,"
,,,,,,"LABOR TO REBUILD BRAKE COMPONENTS NOT OTHERWISE LISTED (FOR NUMBER OF HOURS SHOWN IN THE MANUFACTURER'S FLAT RATE MANUAL),"
,,,,,,"Communications Systems Maintenance and Repair, Vehicle (Including Installation and Removal Services),"
,,,,,,"Cooling System (A/C System, Hoses, Water Pump, Radiator, Heater and Accessories, etc.) Maintenance and Repair,"
,,,,,,"Customizing Services, Vehicle (Including Handicapped and Van Conversions),"
,,,,,,"Drive Train (Clutch Assembly, Flywheel, etc.) Maintenance and Repair,"
,,,,,,"LABOR TO REBUILD DRIVE TRAIN COMPONENTS NOT OTHERWISE LISTED (FOR NUMBER OF HOURS SHOWN IN THE MANUFACTURER'S FLAT RATE MANUAL),"
,,,,,,"Electrical (Alternator/Generator, Battery, Ignition System, Lights, etc.) Maintenance and Repair,"
,,,,,,"MAINTENANCE AND REPAIR OF ALTERANATORS,"
,,,,,,"LABOR TO REBUILD AUTOMOTIVE ELECTRICAL COMPONENTS NOT OTHERWISE LISTED (FOR HOURS SHOWN IN THE MANUFACTURER'S FLAT RATE MANUAL),"
,,,,,,"MAINTENANCE AND REPAIR OF IGNITION AND STARTER SYSTEMS,"
,,,,,,"Exhaust System Maintenance and Repair,"
,,,,,,"Fuel System Maintenance and Repair,"
,,,,,,"LABOR TO REBUILD FUEL SYSTEM COMPONENTS NOT OTHERWISE LISTED (FOR NUMBER OF HOURS SHOWN IN THE MANUFACTURER'S FLAT RATE MANUAL),"
,,,,,,"Fueling Services, Mobile (Vehicle),"
,,,,,,"Glass Replacement and Repair Services, Windshield and Window (Auto), (Including Window Tinting Services),"
,,,,,,"General Maintenance and Repair, Vehicle (Not Otherwise Classified), to Include Oil Changes, Lubrication, Guaranteed Maintenance Programs, etc. (See 928-88 for Tune-Ups),"
,,,,,,"FILTER REPLACEMENT SERVICES, VEHICLE,"
,,,,,,"MAINTENANCE SERVICES, VEHICLE (MISC),"
,,,,,,"OIL CHANGE AND CHASSIS LUBRICATION SERVICE, VEHICLE,"
,,,,,,"RADIATOR AND ANTIFREEZE SERVICES, VEHICLE,"
,,,,,,"Hydraulics (Pump, Hydraulic Motor, Valves, Gauges, etc.) Maintenance and Repair,"
,,,,,,"Painting, Vehicle,"
,,,,,,"Power Plant (Engine, Belts, Heads, Intake, Rebuilding, etc.) Maintenance and Repair,"
,,,,,,"Reconditioning/Refurbishing Vehicles,"
,,,,,,"Road Services, Vehicle (Includes Mobile Repair Services),"
,,,,,,"ROAD SERVICES, VEHICLE (MISC),"
,,,,,,"Suspension (Axles, Springs, Steering, etc.) Maintenance and Repair,"
,,,,,,"Tire and Tube Mounting, Repair, Retreading, and Rotation (Including Tire"
"Urban Land Company, LLC",Limited Liability Corporation,"DZE, SBE, LBE",Active,gerard@urbanlandcompany.com,1/18/15,"Real Estate: Land and Improvements,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Real Estate Management Services (To include Listing and Sales Services),"
,,,,,,"Real Estate (Incl. Buildings, Houses, Land, etc),"
,,,,,,"MARKETING, REAL ESTATE, SURPLUS"
"Allied Telecom Group, LLC",Limited Liability Corporation,"LRB, DZE, SBE, LBE",Active,KMoore@alliedtelecom.net,3/29/15,"Communications: Networking, Linking, etc.,"
,,,,,,"Information Highway Electronic Services (Internet, World Wide Web, etc.),"
,,,,,,"Telephone Services Includes Installation, Moves, Changes, Adds, Programming, Removal, Training, etc. (To Include Pay Telephones),"
,,,,,,"Telecommunication Services (Not Otherwise Classified),"
,,,,,,"Computer Hardware Consulting,"
,,,,,,"Personnel/Employment Consulting,"
,,,,,,"Telecommunications Consulting,"
,,,,,,"Networking Services (Including Installation, Security, and Maintenance ),"
,,,,,,Telephone Systems/Engineering
"Moddie Turay Company, LLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,moddie@moddieturay.com,7/20/14,"Consulting Services (Not Otherwise Classified),"
,,,,,,Real Estate/Land Consulting (Including Land Survey Consulting)
"Danison, Inc.",Corporation,"DZE, DBE, SBE, LBE",Active,tonynwa_daniels@yahoo.com,3/26/14,"Novelties and Advertising Specialty Products,"
,,,,,,"Souvenirs: Promotional, Advertising, etc.,"
,,,,,,"Project Management,"
,,,,,,"Planning, Site (Installation and Project),"
,,,,,,"Drafting Services,"
,,,,,,"Administration of Contracts: Summary of Work, Quality Control, Project Closeout, etc.,"
,,,,,,"Carpentry Maintenance and Repair Services,"
,,,,,,"Carpentry,"
,,,,,,"Advertising Consulting,"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Engineering Consulting,"
,,,,,,"Purchasing Consulting (Incl. Specification Development),"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Media Conversion Services,"
,,,,,,"Building and Facilities Management Services,"
,,,,,,"Business Management Services,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,"PRINTING AND TYPESETTING SERVICES,"
,,,,,,"Bumper Stickers, etc.: Printed,"
,,,,,,"Business Cards Printed,"
,,,,,,"Check Printing,"
,,,,,,"Continuous Form Printing,"
,,,,,,"Silk Screen Printing,"
,,,,,,Fingerprinting Services
"Supretech, Inc.",Corporation,"ROB, DBE, SBE, LBE",Active,ig.ogu@supretech.com,4/9/14,"COMPUTER HARDWARE AND PERIPHERALS FOR MICROCOMPUTERS,"
,,,,,,"Cabinets and Cases: Desktop Cases, Tower Cases, Drive Cabinets, etc.,"
,,,,,,"Cables: Printer, Disk, Network, etc.,"
,,,,,,"Cameras, Digital, For Windows (Including Liquid Crystal Display),"
,,,,,,"Chips: Accelerator, Graphics, Math Co-Processor, Memory (RAM and ROM), Network, SIMMS, etc.,"
,,,,,,"Communication Boards: Fax, Modem (Internal), etc.,"
,,,,,,"Communication Control Units: Concentrators, Multiplexors, Couplers, etc.,"
,,,,,,"Controllers, Programmable: Industrial Control Devices, Robots, etc.,"
,,,,,,"Data Entry and Remote Job Entry Devices, Voice Activated: Voice Recognition, Voice Digitization, Speech Synthesizers, etc.,"
,,,,,,"Drives, Compact Disk (CD ROM, etc.),"
,,,,,,"Drives, Floppy Disk,"
,,,,,,"Drives, Hard/Fixed Disk,"
,,,,,,"Drives, Tape,"
,,,,,,"Expansion/Accelerator Boards: Hard Drive Controller Cards, Memory, Processor, SCSI, Video Cards, etc.,"
,,,,,,"Imaging Systems, Microcomputer (Including Digital Imaging Network (DIN) and Digital Imaging Communications in Medicine (DICOM)),"
,,,,,,"Microcomputers, Desktop or Towerbased,"
,,,,,,"Microcomputers, Handheld, Laptop, and Notebook,"
,,,,,,"Microcomputers, Multi-Processor,"
,,,,,,"Modems, External, Data Communications,"
,,,,,,"Monitors, Color and Monochrome (CGA, VGA, SVGA, etc.),"
,,,,,,"Motherboards,"
,,,,,,"Network Components: Adapter Cards, Bridges, Connectors, Expansion Modules/Ports, Firewall Devices, Hubs, Line Drivers, MSAUs, Routers, Transceivers, etc.,"
,,,,,,"Peripherals, Miscellaneous: Joy Sticks, Graphic Digitizers, Light Pens, Mice, Pen Pads, Trackballs, Secure I.D. Access Cards, etc.,"
,,,,,,"Plotters, Graphic,"
,,,,,,"Power Supplies and Power Related Parts, Internal,"
,,,,,,"Printer Sharing Devices,"
,,,,,,"Printers, Dot Matrix,"
,,,,,,"Printers, Inkjet,"
,,,,,,"Printers, Laser,"
,,,,,,"Printers, Pen Plotter,"
,,,,,,"Printers, Thermal,"
,,,,,,"Printers, Microcomputer (Not Otherwise Classified),"
,,,,,,"Recycled Microcomputer Hardware and Peripherals,"
,,,,,,"Retrieval Systems, Computer Assisted: Indexing, Retrieval (CD ROM Jukebox, etc.) and Access Systems,"
,,,,,,"Scanners, Document: Handheld, Desktop and High Volume,"
,,,,,,"Scanners and Readers, Magnetic Strip,"
,,,,,,"Scanners and Readers, Optical Character: Bar Code, Remittance Scanner/Processors, etc.,"
,,,,,,"Terminals and CRTs: Data Processing Systems,"
,,,,,,"Workstations: SPARC, RISC, etc. (For Use With CAD/CAM, etc.),"
,,,,,,"COMPUTER HARDWARE AND PERIPHERALS FOR MINI AND MAIN FRAME COMPUTERS,"
,,,,,,"Cables: Printer, Disk, Network, etc.,"
,,,,,,"Chips: Accelerator, Graphics, Math Co-Processor, Memory (RAM and ROM), Network, etc.,"
,,,,,,"Communication Boards: Fax, Modem (Internal), Network Cards, etc.,"
,,,,,,"Communication Control Units: Concentrators, Multiplexors, Couplers, etc.,"
,,,,,,"Communication Processors and Protocol Convertors: Front-End Processor, Network Interface Module, Protocol Interchange, Switching Controls, etc.,"
,,,,,,"SWITCHES, COMPUTER, NETWORK,"
,,,,,,"Computer Systems, Digital,"
,,,,,,"Computer Systems, Laboratory Control,"
,,,,,,"Computer Systems, Process Control,"
,,,,,,"Controllers, Disk: Disk Subsystems, etc.,"
,,,,,,"Controllers, Local and Remote,"
,,,,,,"Controllers, Peripheral: Plotters, Printers, Digitizers, etc.,"
,,,,,,"Controllers, Tape: Tape Subsystems, etc.,"
,,,,,,"Data Entry and Remote Job Entry Devices, Voice Activated: Voice Recognition, Voice Digitization, Speech Synthesizers, etc.,"
,,,,,,"Drives: Compact Disk, ROM, etc.,"
,,,,,,"Drives: Hard/Fixed Disk,"
,,,,,,"Drives, Tape,"
,,,,,,"Expansion/Accelerator Boards: Memory, Processor, etc.,"
,,,,,,"Geographic Information Systems (GIS),"
,,,,,,"Imaging Systems, Mini and Main Frame Computer,"
,,,,,,"Keyboards,"
,,,,,,"Modems, External Data Communications,"
,,,,,,"Monitors, Color and Monochrome (CGA, VGA, SVGA, etc.),"
,,,,,,"Network Components: Adapter Cards, Bridges, Connectors, Expansion Modules/Ports, Hubs, Line Drivers, MSAUs, Routers, Transceivers, etc.,"
,,,,,,"Peripherals, Miscellaneous: Graphic Digitizers, Joy Sticks, Light Pens, Mice, Pen Pads, Trackballs, etc.,"
,,,,,,"Power Supplies and Power Related Parts, Internal,"
,,,,,,"Printer Sharing Devices,"
,,,,,,"Printers, Dot Matrix,"
,,,,,,"Printers, High Speed, Line Printers, and Printer Subsystems,"
,,,,,,"Printers, Laser,"
,,,,,,"Printers, Pen Plotter,"
,,,,,,"Printers, Thermal,"
,,,,,,"Printers, Mainframe Computer (Not Otherwise Classified),"
,,,,,,"Recycled Mainframe Computer Hardware and Peripherals,"
,,,,,,"Retrieval Systems, Computer Aided: Indexing, Retrieval and Access Systems (CD ROM Jukebox, etc.),"
,,,,,,"Scanners, Document: Handheld, Desktop, and High Volume,"
,,,,,,"Scanners and Readers, Magnetic Strip,"
,,,,,,"Scanners and Readers, Optical Character: Bar Code, Remittance Scanner/Processors, etc.,"
,,,,,,"Storage Devices, Electronic (Disk Drive Compatible),"
,,,,,,"Terminals and CRTs: Data Processing Systems,"
,,,,,,"COMPUTER ACCESSORIES AND SUPPLIES,"
,,,,,,"Batteries, Computer and Peripheral,"
,,,,,,"Battery Chargers, Computer and Peripheral,"
,,,,,,"Braces: Monitor, PC's, CRT's, Desk Top Printers, etc.,"
,,,,,,"Carts, Computer,"
,,,,,,"Cleaners for Keyboards, Monitors, Tapes, Diskettes, etc.,"
,,,,,,"Compact Disks, DVD, ROM, etc.,"
,,,,,,"Computer Instructional Aids and Training Devices,"
,,,,,,"Covers and Enclosures (Acoustical and Protective) (For Equipment),"
,,,,,,"CRT Holders, Cases, Glare Screens, Locks, etc.,"
,,,,,,"Diskettes, Disk Packs, Floppy Diskettes, Labels, etc.,"
,,,,,,"Fasteners and Accessories, Thumb Lock,"
,,,,,,"Forms Bursters, Decollators, Detachers, Feeders, Strippers and Related Accessories,"
,,,,,,"Forms, Charts, Templates, Rulers, etc.,"
,,,,,,"Graphic Supplies for Plotters and Printer Plotters: Inks, Pens, Penholders, Chemicals, Paper, etc.,"
,,,,,,"Keyboard Dust Covers, Key Top Covers, Keyboard Drawers, Wrist Supports, etc.,"
,,,,,,"Power Supplies: Surge Protectors, Uninterruptible Power Supplies, Switches, etc.,"
,,,,,,"Printer Accessories and Supplies: Chemicals, Forms Tractors, Inks and Cartridges, Paper, Label Sheets, Sheet Feeders, Toner Cartridges, Wheels, etc.,"
,,,,,,"Projection Devices and Accessories: Interactive Conferencing Boards, LCD, Pads, Panels, etc.,"
,,,,,,"Recycled Computer Accessories and Supplies,"
,,,,,,"TONER CARTRIDGES, LASER JET PRINTER, REMANUFACTURED,"
,,,,,,"Tapes, Tape Cartridges, Tape Cassettes, Tape Reels, Tape Labels, etc.,"
,,,,,,"Testing Equipment for Computers and Related Equipment,"
,,,,,,"COMPUTER SOFTWARE FOR MICROCOMPUTERS (PREPROGRAMMED),"
,,,,,,"Accounting/Financial: Bookkeeping, Billing and Invoicing, Budgeting, Payroll, Taxes, etc.,"
,,,,,,"Business Software, Misc.: Agenda, Labels, Mail List, Planning, Scheduling, etc.,"
,,,,,,"Communications: Networking, Linking, etc. (Includes Clustering Software),"
,,,,,,"Computer Aided Design and Vectorization Software,"
,,,,,,"Database Software,"
,,,,,,"Desktop Publishing,"
,,,,,,"Driver and Hardware Support Programs,"
,,,,,,"EDI (Electronic Data Interchange) Translator Software, Microcomputer,"
,,,,,,"Educational: Foreign Languages, Math, Science, Social Studies, etc.,"
,,,,,,"E-Mail Software,"
,,,,,,"Expert System Software,"
,,,,,,"Games: Adventure, Board, Puzzles, Strategy, etc. (See 037-84; 209-48; 785-53; and 805-51 for other type games),"
,,,,,,"Graphics: Clip Art, Demos, Presentation, Slide Shows, etc.,"
,,,,,,"Integrated Software,"
,,,,,,"Internet and Web Site Software for Microcomputers,"
,,,,,,"Inventory Management,"
,,,,,,"Language Translation Software,"
,,,,,,"Library Information Management Software,"
,,,,,,"OCR and Scanner Software,"
,,,,,,"Personnel Software,"
,,,,,,"Point of Sale Software,"
,,,,,,"Professional: Computer Training, Hospital/Pharmacy, Legal, etc.,"
,,,,,,"Programming: Basic, Assembler, Computer Assisted Software Engineering Tools (CASE), Libraries, etc.,"
,,,,,,"Project Management,"
,,,,,,"Purchasing Software,"
,,,,,,"Purchasing and Accounting Codes for use with PC Software,"
,,,,,,"Real Estate/Property Management,"
,,,,,,"Recycled Microcomputer Software,"
,,,,,,"Scientific, Statistical, Engineering, Mathematical, and Mapping Software (Including Photogrammetry),"
,,,,,,"Shipping and Postal Management Software,"
,,,,,,"Spread Sheet Software,"
,,,,,,"Surveying Systems Software,"
,,,,,,"Tools, Programming and Case,"
,,,,,,"Utilities: Back-up, Batch File, Firewall, Menus, Operating System, Network Operating System, Network Management, Recovery, Screen, Security, Virus Protection,"
"LeDroit Park Development Company, LLC",Limited Liability Corporation,"VOB, ROB, DZE, DBE, SBE, LBE",Active,cmerritt@LPDCO.com,2/1/15,"Real Estate/Property Management,"
,,,,,,"Real Estate/Property Management,"
,,,,,,"Real Estate: Land and Improvements,"
,,,,,,"Construction Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Project Management Services,"
,,,,,,"Real Estate Management Services (To include Listing and Sales Services),"
,,,,,,"Satellite Global Information Positioning System Services,"
,,,,,,"Land, Rental or Lease"
"Metropolitan Fire Sprinkler, LLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,wmerrillsmith@comcast.net,3/16/14,"Fire Protection Equipment and Systems Including Fire Hydrants, Fire Sprinkler Systems, Smoke Detectors, Jaws of Life, Fire Protection Material Treatment, etc. Maintenance and Repair"
"Fells Masonry And Concrete Construction, LLC",Limited Liability Corporation,"DZE, DBE, SBE, LBE",Active,wjackson@vlfmaccounting.com,2/15/15,"Home Construction, Single Family,"
,,,,,,"Maintenance and Repair, Residential Buildings (Incl. Single Family Homes and Apartments),"
,,,,,,"Chimney Installation, Maintenance and Repair,"
,,,,,,"Masonry, Concrete, and Stucco Maintenance and Repair (Includes Inside Concrete Sawing and Grouting Work),"
,,,,,,"Painting, Maintenance and Repair Services (Including Caulking),"
,,,,,,"PAINTING SERVICES,"
,,,,,,"Construction, Parking Lot and Alley,"
,,,,,,"Construction, Street (Major and Residential)(Includes Reconstruction),"
,,,,,,"Carpentry,"
,,,,,,"Concrete,"
,,,,,,"Masonry,"
,,,,,,"Painting and Wallpapering,"
,,,,,,"Trade Services, Construction (Not Otherwise Classified),"
,,,,,,"Buildings, Structures and Components Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Consulting Services (Not Otherwise Classified),"
,,,,,,"Management Consulting,"
,,,,,,"Construction Management Services,"
,,,,,,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,"Program/Project Development and Management Services,"
,,,,,,Installation and Removal Services (Not Otherwise Classified)
"Pro-Typists, Inc.",Corporation,"LRB, SBE, LBE",Active,pro-typists@prodigy.net,6/1/14,"Court Reporting Services,"
,,,,,,"PROFESSIONAL COURT REPORTER SERVICES,"
,,,,,,"Transcription Services: Legal and Medical,"
,,,,,,"TRANSCRIPTION SERVICES, MEDICAL, PROFESSIONAL"
"Capitol City Associates, Inc.",Corporation,"DZE, DBE, SBE, LBE",Active,rstyles@capitolcitydc.com,7/25/14,"Business Consulting, Small,"
,,,,,,"Community Development Consulting,"
,,,,,,"Construction Consulting,"
,,,,,,"Disadvantage Business Enterprise (DBE) and Historically Underutilized Business (HUB) Consulting Including Technical Assistance,"
,,,,,,"Governmental Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Community Service Campaigns (Anti-Litter Programs, etc.),"
,,,,,,"Family and Social Services (Including Shopping and Buying Services),"
,,,,,,"Building and Facilities Management Services,"
,,,,,,"Business Management Services,"
,,,,,,"Corrections Management Services,"
,,,,,,Property Management Services
"Setty and Associates International, PLLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,rsetty@setty.com,10/12/14,"Architect Services, Professional,"
,,,,,,"Energy Conservation; New Energy Sources (Solar, etc.) - Architectural Services,"
,,,,,,"Energy Conservation Services (Including Audits),"
,,,,,,"Construction Consulting,"
,,,,,,"Energy Conservation Consulting,"
,,,,,,"Engineering Consulting,"
,,,,,,"Urban Planning Consulting,"
,,,,,,"Electrical Engineering,"
,,,,,,"Fire Protection Engineering,"
,,,,,,"Construction Management Services,"
,,,,,,"Commissioning of Facilities Services (Functional and Prefunctional),"
,,,,,,Environmental Impact Studies
"C & A Electric, Inc dba Daniels Electric",Corporation,"ROB, DZE, DBE, SBE, LBE",Active,danielselectric@verizon.net,8/16/14,"Energy Computerized Control System (HVAC, Lighting, Utilities, etc) Installation, Maintenance and Repair Services,"
,,,,,,"Electrical,"
,,,,,,"Lighting Fixtures Maintenance and Repair,"
,,,,,,"Electrical Equipment (Except Cable and Wires, and Lighting Fixtures) Maintenance and Repair"
VLi Incorporation,Corporation,"DBE, SBE, LBE",Active,veronica.lipscombe@vliinc.com,4/5/15,"Project Management,"
,,,,,,"Project Management,"
,,,,,,"Computer Hardware Consulting,"
,,,,,,"CONSULTANT SERVICES, COMPUTER SYSTEMS/NETWORKING,"
,,,,,,"Computer Network Consulting,"
,,,,,,"Installation of Computers, Peripherals, and Related Equipment (Including Software),"
,,,,,,"INSTALLATION OF COMPUTERS, PERIPHERALS, AND RELATED EQUIPMENT"
"Triden Development Group, LLC",Limited Liability Corporation,"DBE, SBE, LBE",Active,cwill4676@aol.com,11/10/13,"Real Estate: Land and Improvements,"
,,,,,,"Land Development and Planning - Architectural,"
,,,,,,"Land Development and Sub-Division Services,"
,,,,,,"Community Development Consulting,"
,,,,,,"Real Estate/Land Consulting (Including Land Survey Consulting),"
,,,,,,"Land Development and Planning/Engineering,"
,,,,,,Urban and Regional Development Services
"Holland Enterprises, LLC",Limited Liability Corporation,"ROB, DBE, SBE, LBE",Active,ERIC.HOLLAND@kellogg.com,9/6/14,"Project Management Services,"
,,,,,,"Cost Estimating,"
,,,,,,Program/Project Development and Management Services
"Aroli Group, LLC",Limited Liability Corporation,"ROB, DZE, DBE, SBE, LBE",Active,mark@menkitigroup.com,7/25/14,"Real Estate/Property Management,"
,,,,,,"Real Estate: Land and Improvements,"
,,,,,,"Buildings, Structures and Components Consulting,"
